1,1,1,2,1
2,2,4,8,8
3,3,4,0,0
4,4,3,0,0
5,4,3,0,0
6,5,4,0,0
7,4,3,0,0
8,4,3,0,0
9,6,2,0,0
10,7,2,0,0
11,8,4,0,0
12,9,3,0,0
13,10,2,0,0
14,11,2,0,0
15,12,2,1,0
16,13,5,0,0
17,4,3,0,0
18,4,1,1,1
19,4,6,0,0
20,4,6,0,0
21,14,2,0,0
22,15,2,1,0
23,16,2,1,0
24,17,6,0,0
25,17,6,0,0
26,18,2,1,0
27,19,6,0,0
28,20,2,0,0
29,21,6,0,0
30,22,6,0,0
31,22,6,0,0
32,22,6,0,0
33,23,6,0,0
34,22,6,0,0
35,24,2,0,0
36,25,2,1,0
37,26,2,1,0
38,27,2,1,0
39,28,2,1,0
40,22,3,0,0
41,29,2,0,0
42,30,2,1,0
43,31,2,1,0
44,32,2,1,0
45,33,2,1,0
46,34,2,1,0
47,35,2,1,0
48,36,2,1,0
49,37,2,1,0
50,32,2,1,0
51,38,2,1,0
52,39,2,1,0
53,40,2,1,0
54,41,2,1,0
55,41,2,1,0
56,42,2,1,0
57,22,3,1,0
58,22,3,0,0
59,43,3,1,0
60,43,3,0,0
61,44,3,0,0
62,44,3,0,0
63,44,3,0,0
64,45,4,1,0
65,46,3,1,0
66,47,3,1,0
67,47,3,1,0
68,48,3,0,0
69,48,3,2,0
70,49,3,0,0
71,49,6,0,0
72,41,2,1,0
73,50,6,0,0
74,50,6,0,0
75,51,6,0,0
76,52,6,1,0
77,53,6,1,0
78,54,6,1,0
79,55,6,0,0
80,55,6,0,0
81,56,6,0,0
82,57,6,0,0
83,58,6,0,0
84,59,2,1,0
85,60,6,0,0
86,59,2,1,0
87,59,2,1,0
88,61,6,1,0
89,62,2,1,0
90,62,2,1,0
91,59,2,1,0
92,63,6,1,0
93,64,6,0,0
94,65,6,0,0
95,66,6,1,0
96,59,2,1,0
97,59,2,1,0
98,67,2,1,0
99,59,2,1,0
100,68,2,1,0
101,68,2,1,0
102,49,6,1,0
103,53,6,1,0
104,69,2,1,0
105,70,2,1,0
106,71,2,1,0
107,72,6,1,0
108,72,6,0,0
109,41,2,0,0
110,41,2,3,0
111,73,2,1,0
112,53,6,1,0
113,53,6,1,0
114,53,6,1,0
115,74,6,0,0
116,75,6,0,0
117,76,4,1,0
118,77,3,0,0
119,77,3,0,0
120,78,3,0,0
121,53,3,1,1
122,79,4,1,0
123,79,4,1,0
124,80,3,1,0
125,81,4,1,0
126,77,6,0,0
127,53,6,1,0
128,76,4,1,0
129,82,4,1,0
130,83,4,1,0
131,84,6,0,0
132,53,6,1,0
133,76,4,1,0
134,85,6,1,0
135,86,6,1,0
136,86,6,1,0
137,76,4,1,0
138,76,4,1,0
139,87,2,0,0
140,88,2,0,0
141,76,4,1,0
142,89,2,0,0
143,53,2,0,0
144,90,4,1,0
145,53,6,0,0
146,53,6,1,0
147,76,4,1,0
148,91,2,0,0
149,91,2,0,0
150,53,6,1,0
151,53,6,1,0
152,76,4,1,0
153,53,6,1,0
154,76,4,1,0
155,53,6,1,0
156,53,6,1,0
157,53,6,0,0
158,53,6,0,0
159,53,3,1,0
160,53,3,1,0
161,53,6,1,0
162,53,6,1,0
163,76,4,1,0
164,92,4,1,0
165,92,4,0,0
166,92,4,0,0
167,92,4,1,0
168,53,6,1,0
169,53,6,1,0
170,53,4,1,0
171,53,6,1,0
172,85,6,0,0
173,53,4,1,0
174,93,6,0,0
175,53,4,1,0
176,76,4,1,0
177,53,4,1,0
178,93,6,1,0
179,93,6,1,0
180,94,4,1,0
181,93,6,1,0
182,93,6,1,0
