83,0,PINK,BLUE,8,603,374,2025-05-21 15:29:08
84,0,WHITE,GREEN,10,2330,650,2025-05-21 15:34:05
85,0,BLUE,GREEN,11,2795,1555,2025-05-21 15:49:49
86,0,BLUE,ORANGE,15,2603,1290,2025-05-21 15:53:03
87,0,BLUE,ORANGE,14,1959,1824,2025-05-21 16:23:01
88,0,GREEN,GREEN,17,1988,2405,2025-05-21 16:23:55
89,0,BLUE,GREEN,15,2603,1290,2025-05-21 16:27:27
90,0,PINK,PURPLE,11,603,373,2025-05-21 16:40:23
91,0,BLUE,YELLOW,14,2583,1290,2025-05-21 16:47:23
92,0,BLUE,YELLOW,13,2453,963,2025-05-21 18:03:57
93,0,WHITE,BLUE,9,3057,1154,2025-05-21 20:03:18
94,0,BLUE,YELLOW,14,2453,963,2025-05-21 20:32:44
